# text = vascular membrane that lines the inner surface of long bones
# id = 05319144-n-1
# type = def
1	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	0:8
# id = 05318606-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	muscular	wf	JJ	muscular%3	muscular%3:01:00::	man	2:10
3	partition	wf	NN	partition%1|partition%2	_	un	11:20
4	separating	wf	VBG	separate%2	separate%2:42:00::	man	21:31
5	the	wf	DT	the	_	ignore	32:35
6	_	glob|b	_	abdominal_cavity%1	abdominal_cavity%1:08:00::	auto	_
7	abdominal	cf|b	JJ	abdominal%1|abdominal%3	_	un	36:45
8	and	wf	CC	and	_	ignore	46:49
9	_	glob|a	_	thoracic_cavity%1	thoracic_cavity%1:08:00::	auto	_
10	thoracic	cf|a	JJ	thoracic%3	_	un	50:58
11	cavities	cf|a|b	NNS	cavity%1	_	un	59:67
12	;	wf	punc	_	_	ignore	67:68
13	functions	wf	NNS	function%1|function%2	function%1:07:00::	man	69:78
14	in	wf	IN	in	_	ignore	79:81
15	respiration	wf	NN	respiration%1	respiration%1:04:01::	man	82:93

# text = the membrane that forms around a fertilized ovum and prevents penetration by additional spermatozoon
# id = 05319419-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	4:12
3	that	wf	WDT	that	_	ignore	13:17
4	forms	wf	VBZ	form%1|form%2	form%2:42:02::	man	18:23
5	around	wf	IN	around%4	_	un	24:30
6	a	wf	DT	a	_	ignore	31:32
7	_	glob|a	_	fertilized_ovum%1	fertilized_ovum%1:08:00::	auto	_
8	fertilized	cf|a	VBN	fertilize%2	_	un	33:43
9	ovum	cf|a	NN	ovum%1	_	un	44:48
10	and	wf	CC	and	_	ignore	49:52
11	prevents	wf	VBZ	prevent%2	prevent%2:41:01::	man	53:61
12	penetration	wf	NN	penetration%1	penetration%1:04:02::	man	62:73
13	by	wf	IN	by	_	ignore	74:76
14	additional	wf	JJ	additional%3	_	un	77:87
15	spermatozoon	wf	NN	spermatozoon%1	spermatozoon%1:08:00::	auto	88:100

# text = the sense organ for hearing and equilibrium
# id = 05320899-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	_	glob|a	_	sense_organ%1	sense_organ%1:08:00::	auto	_
3	sense	cf|a	NN	sense%1|sense%2	_	un	4:9
4	organ	cf|a	NN	organ%1	_	un	10:15
5	for	wf	IN	for	_	ignore	16:19
6	hearing	wf	NN	hearing%1|hear%2|hearing%3	hearing%1:09:00::	man	20:27
7	and	wf	CC	and	_	ignore	28:31
8	equilibrium	wf	NN	equilibrium%1	equilibrium%1:09:00::	man	32:43

# text = the innermost membrane of an organ (especially the inner lining of an artery or vein or lymphatic vessel)
# id = 05319760-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	innermost	wf	JJ	innermost%3	innermost%5:00:00:inner:00	man	4:13
3	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	14:22
4	of	wf	IN	of	_	ignore	23:25
5	an	wf	DT	an	_	ignore	26:28
6	organ	wf	NN	organ%1	organ%1:08:00::	man	29:34
7	(	wf	punc	_	_	ignore	35:36
8	especially	wf	RB	especially%4	_	ignore	36:46
9	the	wf	DT	the	_	ignore	47:50
10	inner	wf	JJ	inner%3	inner%3:00:00::	man	51:56
11	lining	wf	NN	lining%1|line%2	_	un	57:63
12	of	wf	IN	of	_	ignore	64:66
13	an	wf	DT	an	_	ignore	67:69
14	artery	wf	NN	artery%1	artery%1:08:00::	man	70:76
15	or	wf	CC	or	_	ignore	77:79
16	vein	wf	NN	vein%1|vein%2	vein%1:08:00::	man	80:84
17	or	wf	CC	or	_	ignore	85:87
18	_	glob|a	_	lymphatic_vessel%1	lymphatic_vessel%1:08:00::	auto	_
19	lymphatic	cf|a	JJ	lymphatic%3	_	un	88:97
20	vessel	cf|a	NN	vessel%1	_	un	98:104
21	)	wf	punc	_	_	ignore	104:105

# text = the transparent membrane enveloping the vitreous humor of the eye and separating it from the retina
# id = 05319588-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	transparent	wf	JJ	transparent%3	transparent%5:00:00:clear:02	man	4:15
3	membrane	wf	NN	membrane%1	membrane%1:08:00::	man	16:24
4	enveloping	wf	VBG	envelop%2|enveloping%3	envelop%2:35:00::	man	25:35
5	the	wf	DT	the	_	ignore	36:39
6	_	glob|a	_	vitreous_humor%1	vitreous_humor%1:08:00::	auto	_
7	vitreous	cf|a	JJ	vitreous%3	_	un	40:48
8	humor	cf|a	NN	humor%1|humor%2	_	un	49:54
9	of	wf	IN	of	_	ignore	55:57
10	the	wf	DT	the	_	ignore	58:61
11	eye	wf	NN	eye%1|eye%2	eye%1:08:00::	man	62:65
12	and	wf	CC	and	_	ignore	66:69
13	separating	wf	VBG	separate%2	separate%2:42:00::	man	70:80
14	it	wf	PRP	it	_	ignore	81:83
15	from	wf	IN	from	_	ignore	84:88
16	the	wf	DT	the	_	ignore	89:92
17	retina	wf	NN	retina%1	retina%1:08:00::	auto	93:99

# text = a complex system of interconnecting cavities; concerned with hearing and equilibrium
# id = 05321307-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	complex	wf	JJ	complex%1|complex%3	_	un	2:9
3	system	wf	NN	system%1	_	un	10:16
4	of	wf	IN	of	_	ignore	17:19
5	interconnecting	wf	VBG	interconnect%2	interconnect%2:42:00::	man	20:35
6	cavities	wf	NNS	cavity%1	cavity%1:08:00::	man	36:44
7	;	wf	punc	_	_	ignore	44:45
8	concerned	wf	VBN	concern%2|concerned%3	concern%2:42:00::	man	46:55
9	with	wf	IN	with	_	ignore	56:60
10	hearing	wf	NN	hearing%1|hear%2|hearing%3	hearing%1:09:00::	man	61:68
11	and	wf	CC	and	_	ignore	69:72
12	equilibrium	wf	NN	equilibrium%1	equilibrium%1:09:00::	man	73:84

# text = the central structure of the lens that is surrounded by the cortex
# id = 05320764-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	central	wf	JJ	central%1|central%3	_	un	4:11
3	structure	wf	NN	structure%1|structure%2	_	un	12:21
4	of	wf	IN	of	_	ignore	22:24
5	the	wf	DT	the	_	ignore	25:28
6	lens	wf	NN	lens%1	_	un	29:33
7	that	wf	WDT	that	_	ignore	34:38
8	is	wf	VBZ	i%1|be%2	_	un	39:41
9	surrounded	wf	VBN	surround%2|surrounded%3	_	un	42:52
10	by	wf	IN	by	_	ignore	53:55
11	the	wf	DT	the	_	ignore	56:59
12	cortex	wf	NN	cortex%1	_	un	60:66

# text = the contractile aperture in the center of the iris of the eye; resembles a large black dot
# id = 05320183-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	contractile	wf	JJ	contractile%3	contractile%5:00:00:contracted:00	auto	4:15
3	aperture	wf	NN	aperture%1	aperture%1:17:00::	man	16:24
4	in	wf	IN	in	_	ignore	25:27
5	the	wf	DT	the	_	ignore	28:31
6	center	wf	NN	center%1|center%2|center%3	_	un	32:38
7	of	wf	IN	of	_	ignore	39:41
8	the	wf	DT	the	_	ignore	42:45
9	iris	wf	NN	iris%1	iris%1:08:00::	man	46:50
10	of	wf	IN	of	_	ignore	51:53
11	the	wf	DT	the	_	ignore	54:57
12	eye	wf	NN	eye%1|eye%2	eye%1:08:00::	man	58:61
13	;	wf	punc	_	_	ignore	61:62
14	resembles	wf	VBZ	resemble%2	resemble%2:42:00::	auto	63:72
15	a	wf	DT	a	_	ignore	73:74
16	large	wf	JJ	large%1|large%3|large%4	_	un	75:80
17	black	wf	JJ	black%1|black%2|black%3	_	un	81:86
18	dot	wf	NN	dot%1|dot%2	_	un	87:90

# text = the tissue that surrounds the lens nucleus
# id = 05320636-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	tissue	wf	NN	tissue%1|tissue%2	_	un	4:10
3	that	wf	WDT	that	_	ignore	11:15
4	surrounds	wf	VBZ	surround%1|surround%2	_	un	16:25
5	the	wf	DT	the	_	ignore	26:29
6	_	glob|a	_	lens_nucleus%1	lens_nucleus%1:08:00::	auto	_
7	lens	cf|a	NN	lens%1	_	un	30:34
8	nucleus	cf|a	NN	nucleus%1	_	un	35:42

# text = the part of the ear that is responsible for sensations of sound
# id = 05321144-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	part	wf	NN	part%1|part%2|part%4	_	un	4:8
3	of	wf	IN	of	_	ignore	9:11
4	the	wf	DT	the	_	ignore	12:15
5	ear	wf	NN	ear%1	ear%1:08:00::	man	16:19
6	that	wf	WDT	that	_	ignore	20:24
7	is	wf	VBZ	i%1|be%2	_	un	25:27
8	_	glob|a	_	responsible_for%3	responsible_for%5:00:00:causative:00	man	_
9	responsible	cf|a	JJ	responsible%3	_	un	28:39
10	for	cf|a	IN	for	_	ignore	40:43
11	sensations	wf	NNS	sensation%1	sensation%1:09:01::	man	44:54
12	of	wf	IN	of	_	ignore	55:57
13	sound	wf	NN	sound%1|sound%2|sound%3	sound%1:09:00::	man	58:63

# text = cavity in the petrous part of the temporal bone that contains the membranous labyrinth
# id = 05321917-n-1
# type = def
1	cavity	wf	NN	cavity%1	cavity%1:08:00::	man	0:6
2	in	wf	IN	in	_	ignore	7:9
3	the	wf	DT	the	_	ignore	10:13
4	petrous	wf	JJ	petrous%3	petrous%5:00:00:hard:01	auto	14:21
5	part	wf	NN	part%1|part%2|part%4	_	un	22:26
6	of	wf	IN	of	_	ignore	27:29
7	the	wf	DT	the	_	ignore	30:33
8	_	glob|b	_	temporal_bone%1	temporal_bone%1:08:00::	auto	_
9	temporal	cf|b	JJ	temporal%1|temporal%3	_	un	34:42
10	bone	cf|b	NN	bone%1|bone%2|bone%3	_	un	43:47
11	that	wf	WDT	that	_	ignore	48:52
12	contains	wf	VBZ	contain%2	_	un	53:61
13	the	wf	DT	the	_	ignore	62:65
14	_	glob|a	_	membranous_labyrinth%1	membranous_labyrinth%1:08:00::	auto	_
15	membranous	cf|a	JJ	membranous%3	_	un	66:76
16	labyrinth	cf|a	NN	labyrinth%1	_	un	77:86

# text = a small pouch into which the semicircular canals open
# id = 05322432-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	pouch	wf	NN	pouch%1|pouch%2	pouch%1:06:00::	man	8:13
4	into	wf	IN	into	_	ignore	14:18
5	which	wf	WDT	which	_	ignore	19:24
6	the	wf	DT	the	_	ignore	25:28
7	_	glob|a	_	semicircular_canal%1	semicircular_canal%1:08:00::	auto	_
8	semicircular	cf|a	JJ	semicircular%3	_	un	29:41
9	canals	cf|a	NNS	canal%1|canal%2	_	un	42:48
10	open	wf	JJ	open%1|open%2|open%3	open%3:00:01::	man	49:53

# text = biconvex transparent body situated behind the iris in the eye; its role (along with the cornea) is to focuses light on the retina
# id = 05320362-n-1
# type = def
1	biconvex	wf	JJ	biconvex%3	biconvex%5:00:00:convex:00	auto	0:8
2	transparent	wf	JJ	transparent%3	transparent%5:00:00:clear:02	man	9:20
3	body	wf	NN	body%1|body%2	_	un	21:25
4	situated	wf	VBN	situate%2|situated%3	situate%2:42:00::	man	26:34
5	behind	wf	IN	behind%1|behind%3|behind%4	_	un	35:41
6	the	wf	DT	the	_	ignore	42:45
7	iris	wf	NN	iris%1	iris%1:08:00::	man	46:50
8	in	wf	IN	in	_	ignore	51:53
9	the	wf	DT	the	_	ignore	54:57
10	eye	wf	NN	eye%1|eye%2	eye%1:08:00::	man	58:61
11	;	wf	punc	_	_	ignore	61:62
12	its	wf	PRP$	its	_	ignore	63:66
13	role	wf	NN	role%1	_	un	67:71
14	(	wf	punc	_	_	ignore	72:73
15	along	wf	RB	along%4	_	ignore	73:78
16	with	wf	IN	with	_	ignore	79:83
17	the	wf	DT	the	_	ignore	84:87
18	cornea	wf	NN	cornea%1	cornea%1:08:00::	auto	88:94
19	)	wf	punc	_	_	ignore	94:95
20	is	wf	VBZ	i%1|be%2	_	un	96:98
21	to	wf	TO	to	_	ignore	99:101
22	focuses	wf	NNS	focus%1|focus%2	_	un	102:109
23	light	wf	NN	light%1|light%2|light%3|light%4	light%3:00:06::	man	110:115
24	on	wf	IN	on	_	ignore	116:118
25	the	wf	DT	the	_	ignore	119:122
26	retina	wf	NN	retina%1	retina%1:08:00::	auto	123:129

# text = the central conical bony pillar of the cochlea
# id = 05322735-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	central	wf	JJ	central%1|central%3	central%3:00:01::	man	4:11
3	conical	wf	JJ	conical%3	conical%3:01:00::	auto	12:19
4	bony	wf	JJ	bony%3	bony%3:01:00::	man	20:24
5	pillar	wf	NN	pillar%1	pillar%1:25:00::	man	25:31
6	of	wf	IN	of	_	ignore	32:34
7	the	wf	DT	the	_	ignore	35:38
8	cochlea	wf	NN	cochlea%1	cochlea%1:08:00::	auto	39:46

# text = muscular diaphragm that controls the size of the pupil which in turn controls the amount of light that enters the eye; it forms the colored portion of the eye
# id = 05319936-n-1
# type = def
1	muscular	wf	JJ	muscular%3	muscular%3:01:00::	man	0:8
2	diaphragm	wf	NN	diaphragm%1	_	un	9:18
3	that	wf	WDT	that	_	ignore	19:23
4	controls	wf	VBZ	control%1|control%2	_	un	24:32
5	the	wf	DT	the	_	ignore	33:36
6	size	wf	NN	size%1|size%2|size%3	size%1:07:00::	man	37:41
7	of	wf	IN	of	_	ignore	42:44
8	the	wf	DT	the	_	ignore	45:48
9	pupil	wf	NN	pupil%1	pupil%1:08:00::	man	49:54
10	which	wf	WDT	which	_	ignore	55:60
11	in	wf	IN	in	_	ignore	61:63
12	turn	wf	NN	turn%1|turn%2	_	un	64:68
13	controls	wf	VBZ	control%1|control%2	_	un	69:77
14	the	wf	DT	the	_	ignore	78:81
15	amount	wf	NN	amount%1|amount%2	_	un	82:88
16	of	wf	IN	of	_	ignore	89:91
17	light	wf	NN	light%1|light%2|light%3|light%4	_	un	92:97
18	that	wf	WDT	that	_	ignore	98:102
19	enters	wf	VBZ	enter%2	_	un	103:109
20	the	wf	DT	the	_	ignore	110:113
21	eye	wf	NN	eye%1|eye%2	_	un	114:117
22	;	wf	punc	_	_	ignore	117:118
23	it	wf	PRP	it	_	ignore	119:121
24	forms	wf	VBZ	form%1|form%2	form%2:42:00::	man	122:127
25	the	wf	DT	the	_	ignore	128:131
26	colored	wf	JJ	colored%1|color%2|colored%3	colored%3:00:00::	man	132:139
27	portion	wf	NN	portion%1|portion%2	_	un	140:147
28	of	wf	IN	of	_	ignore	148:150
29	the	wf	DT	the	_	ignore	151:154
30	eye	wf	NN	eye%1|eye%2	eye%1:08:00::	man	155:158

# text = the bodily fluid that fills the membranous labyrinth of the inner ear
# id = 05322103-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	_	glob|b	_	bodily_fluid%1	bodily_fluid%1:08:00::	auto	_
3	bodily	cf|b	JJ	bodily%3|bodily%4	_	un	4:10
4	fluid	cf|b	NN	fluid%1|fluid%3	_	un	11:16
5	that	wf	WDT	that	_	ignore	17:21
6	fills	wf	VBZ	fill%1|fill%2	_	un	22:27
7	the	wf	DT	the	_	ignore	28:31
8	_	glob|a	_	membranous_labyrinth%1	membranous_labyrinth%1:08:00::	auto	_
9	membranous	cf|a	JJ	membranous%3	_	un	32:42
10	labyrinth	cf|a	NN	labyrinth%1	_	un	43:52
11	of	wf	IN	of	_	ignore	53:55
12	the	wf	DT	the	_	ignore	56:59
13	_	glob|c	_	inner_ear%1	inner_ear%1:08:00::	auto	_
14	inner	cf|c	JJ	inner%3	_	un	60:65
15	ear	cf|c	NN	ear%1	_	un	66:69

# text = the sensory structures of the inner ear including the labyrinthine receptors and the cochlea; contained within the bony labyrinth
# id = 05321664-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	sensory	wf	JJ	sensory%3	sensory%5:00:00:afferent:00	man	4:11
3	structures	wf	NNS	structure%1|structure%2	structure%1:08:00::	man	12:22
4	of	wf	IN	of	_	ignore	23:25
5	the	wf	DT	the	_	ignore	26:29
6	_	glob|a	_	inner_ear%1	inner_ear%1:08:00::	auto	_
7	inner	cf|a	JJ	inner%3	_	un	30:35
8	ear	cf|a	NN	ear%1	_	un	36:39
9	including	wf	VBG	include%2	_	un	40:49
10	the	wf	DT	the	_	ignore	50:53
11	labyrinthine	wf	JJ	labyrinthine%3	labyrinthine%3:01:00::	man	54:66
12	receptors	wf	NN	receptor%1	receptor%1:08:00::	man	67:76
13	and	wf	CC	and	_	ignore	77:80
14	the	wf	DT	the	_	ignore	81:84
15	cochlea	wf	NN	cochlea%1	cochlea%1:08:00::	auto	85:92
16	;	wf	punc	_	_	ignore	92:93
17	contained	wf	VBN	contain%2|contained%3	_	un	94:103
18	within	wf	IN	within%4	_	un	104:110
19	the	wf	DT	the	_	ignore	111:114
20	_	glob|b	_	bony_labyrinth%1	bony_labyrinth%1:08:00::	auto	_
21	bony	cf|b	JJ	bony%3	_	un	115:119
22	labyrinth	cf|b	NN	labyrinth%1	_	un	120:129

# text = the bodily fluid that fills the space between the bony labyrinth and the membranous labyrinth of the inner ear
# id = 05322247-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	_	glob|c	_	bodily_fluid%1	bodily_fluid%1:08:00::	auto	_
3	bodily	cf|c	JJ	bodily%3|bodily%4	_	un	4:10
4	fluid	cf|c	NN	fluid%1|fluid%3	_	un	11:16
5	that	wf	WDT	that	_	ignore	17:21
6	fills	wf	VBZ	fill%1|fill%2	_	un	22:27
7	the	wf	DT	the	_	ignore	28:31
8	space	wf	NN	space%1|space%2	_	un	32:37
9	between	wf	IN	between%4	_	un	38:45
10	the	wf	DT	the	_	ignore	46:49
11	_	glob|b	_	bony_labyrinth%1	bony_labyrinth%1:08:00::	auto	_
12	bony	cf|b	JJ	bony%3	_	un	50:54
13	labyrinth	cf|b	NN	labyrinth%1	_	un	55:64
14	and	wf	CC	and	_	ignore	65:68
15	the	wf	DT	the	_	ignore	69:72
16	_	glob|a	_	membranous_labyrinth%1	membranous_labyrinth%1:08:00::	auto	_
17	membranous	cf|a	JJ	membranous%3	_	un	73:83
18	labyrinth	cf|a	NN	labyrinth%1	_	un	84:93
19	of	wf	IN	of	_	ignore	94:96
20	the	wf	DT	the	_	ignore	97:100
21	_	glob|d	_	inner_ear%1	inner_ear%1:08:00::	auto	_
22	inner	cf|d	JJ	inner%3	_	un	101:106
23	ear	cf|d	NN	ear%1	_	un	107:110

# text = organs mediating the labyrinthine sense; concerned with equilibrium
# id = 05323036-n-1
# type = def
1	organs	wf	NNS	organ%1|organs%1	organ%1:08:00::	man	0:6
2	mediating	wf	VBG	mediate%2	_	un	7:16
3	the	wf	DT	the	_	ignore	17:20
4	_	glob|a	_	labyrinthine_sense%1	labyrinthine_sense%1:09:00::	auto	_
5	labyrinthine	cf|a	JJ	labyrinthine%3	_	un	21:33
6	sense	cf|a	NN	sense%1|sense%2	_	un	34:39
7	;	wf	punc	_	_	ignore	39:40
8	concerned	wf	VBN	concern%2|concerned%3	concern%2:42:00::	man	41:50
9	with	wf	IN	with	_	ignore	51:55
10	equilibrium	wf	NN	equilibrium%1	equilibrium%1:09:00::	man	56:67

# text = the part of the ear visible externally
# id = 05323723-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	part	wf	NN	part%1|part%2|part%4	_	un	4:8
3	of	wf	IN	of	_	ignore	9:11
4	the	wf	DT	the	_	ignore	12:15
5	ear	wf	NN	ear%1	ear%1:08:00::	man	16:19
6	visible	wf	JJ	visible%3	_	un	20:27
7	externally	wf	RB	externally%4	externally%4:02:00::	man	28:38

# text = a small sac or pouch (especially the smaller chamber of the membranous labyrinth)
# id = 05322570-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	sac	wf	NN	sac%1	sac%1:08:00::	man	8:11
4	or	wf	CC	or	_	ignore	12:14
5	pouch	wf	NN	pouch%1|pouch%2	pouch%1:25:00::	man	15:20
6	(	wf	punc	_	_	ignore	21:22
7	especially	wf	RB	especially%4	_	ignore	22:32
8	the	wf	DT	the	_	ignore	33:36
9	smaller	wf	JJR	smaller%3	smaller%5:00:00:small:00	auto	37:44
10	chamber	wf	NN	chamber%1|chamber%2	chamber%1:08:00::	man	45:52
11	of	wf	IN	of	_	ignore	53:55
12	the	wf	DT	the	_	ignore	56:59
13	_	glob|a	_	membranous_labyrinth%1	membranous_labyrinth%1:08:00::	auto	_
14	membranous	cf|a	JJ	membranous%3	_	un	60:70
15	labyrinth	cf|a	NN	labyrinth%1	_	un	71:80
16	)	wf	punc	_	_	ignore	80:81

# text = the hearing organ of the inner ear; contains receptors that respond to sound waves
# id = 05322855-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	hearing	wf	JJ	hearing%1|hear%2|hearing%3	hearing%3:00:00::	man	4:11
3	organ	wf	NN	organ%1	organ%1:08:00::	man	12:17
4	of	wf	IN	of	_	ignore	18:20
5	the	wf	DT	the	_	ignore	21:24
6	_	glob|a	_	inner_ear%1	inner_ear%1:08:00::	auto	_
7	inner	cf|a	JJ	inner%3	_	un	25:30
8	ear	cf|a	NN	ear%1	_	un	31:34
9	;	wf	punc	_	_	ignore	34:35
10	contains	wf	VBZ	contain%2	_	un	36:44
11	receptors	wf	NN	receptor%1	receptor%1:08:00::	man	45:54
12	that	wf	WDT	that	_	ignore	55:59
13	respond	wf	VB	respond%2	respond%2:31:00::	man	60:67
14	to	wf	TO	to	_	ignore	68:70
15	_	glob|b	_	sound_wave%1	sound_wave%1:11:00::	man	_
16	sound	cf|b	JJ	sound%1|sound%2|sound%3	_	un	71:76
17	waves	cf|b	NNS	wave%1|wave%2	_	un	77:82

# text = a receptor in a muscle that responds to stretching of the muscle tissue
# id = 05323454-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	receptor	wf	NN	receptor%1	receptor%1:08:00::	man	2:10
3	in	wf	IN	in	_	ignore	11:13
4	a	wf	DT	a	_	ignore	14:15
5	muscle	wf	NN	muscle%1|muscle%2	muscle%1:08:00::	man	16:22
6	that	wf	WDT	that	_	ignore	23:27
7	responds	wf	VBZ	respond%2	respond%2:31:00::	man	28:36
8	to	wf	TO	to	_	ignore	37:39
9	stretching	wf	VBG	stretching%1|stretch%2	stretch%2:29:02::	man	40:50
10	of	wf	IN	of	_	ignore	51:53
11	the	wf	DT	the	_	ignore	54:57
12	muscle	wf	NN	muscle%1|muscle%2	muscle%1:08:00::	man	58:64
13	tissue	wf	NN	tissue%1|tissue%2	tissue%1:08:00::	man	65:71

# text = the fleshy pendulous part of the external human ear
# id = 05323588-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	fleshy	wf	JJ	fleshy%3	fleshy%5:00:00:fat:01	man	4:10
3	pendulous	wf	JJ	pendulous%3	pendulous%5:00:00:unerect:00	auto	11:20
4	part	wf	NN	part%1|part%2|part%4	_	un	21:25
5	of	wf	IN	of	_	ignore	26:28
6	the	wf	DT	the	_	ignore	29:32
7	external	wf	JJ	external%1|external%3	external%3:00:00::	man	33:41
8	human	wf	JJ	human%1|human%3	human%3:00:00::	man	42:47
9	ear	wf	NN	ear%1	ear%1:08:01::	man	48:51

# text = the externally visible cartilaginous structure of the external ear
# id = 05323889-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	externally	wf	RB	externally%4	externally%4:02:00::	man	4:14
3	visible	wf	JJ	visible%3	_	un	15:22
4	_	glob|a	_	cartilaginous_structure%1	cartilaginous_structure%1:08:00::	auto	_
5	cartilaginous	cf|a	JJ	cartilaginous%3	_	un	23:36
6	structure	cf|a	NN	structure%1|structure%2	_	un	37:46
7	of	wf	IN	of	_	ignore	47:49
8	the	wf	DT	the	_	ignore	50:53
9	_	glob|b	_	external_ear%1	external_ear%1:08:00::	auto	_
10	external	cf|b	JJ	external%1|external%3	_	un	54:62
11	ear	cf|b	NN	ear%1	_	un	63:66

# text = an auricle deformed by injury; common among boxers
# id = 05324276-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	auricle	wf	NN	auricle%1	auricle%1:08:02::	man	3:10
3	deformed	wf	JJ	deform%2|deformed%3	deformed%5:00:00:unshapely:00	man	11:19
4	by	wf	IN	by	_	ignore	20:22
5	injury	wf	NN	injury%1	_	un	23:29
6	;	wf	punc	_	_	ignore	29:30
7	common	wf	JJ	common%1|common%3	_	un	31:37
8	among	wf	IN	among	_	ignore	38:43
9	boxers	wf	NNS	boxer%1|boxers%1	boxer%1:18:00::	man	44:50

# text = a small cartilaginous flap in front of the external opening of the ear
# id = 05324134-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	cartilaginous	wf	JJ	cartilaginous%3	cartilaginous%3:01:00::	man	8:21
4	flap	wf	NN	flap%1|flap%2	flap%1:08:00::	man	22:26
5	in	wf	IN	in	_	ignore	27:29
6	front	wf	NN	front%1|front%2|front%3	_	ignore	30:35
7	of	wf	IN	of	_	ignore	36:38
8	the	wf	DT	the	_	ignore	39:42
9	external	wf	JJ	external%1|external%3	external%3:00:00::	man	43:51
