# text = neotenic development
# id = 02768421-a-2
# type = ex
1	neotenic	wf	_	neotenic%3	neotenic%3:01:00::	auto	0:8
12	culture	wf	NN	culture%1|culture%2	culture%1:09:01::	man	49:56

# text = of or relating to olfaction
# id = 02770629-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	olfaction	wf	NN	olfaction%1	olfaction%1:09:00::	auto	18:27

# text = of or relating to ancient Numidia or its people or culture
# id = 02770229-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	TO	to	_	ignore	15:17
5	ancient	wf	JJ	ancient%1|ancient%3	ancient%5:00:00:past:00	man	18:25
6	Numidia	wf	NNP	Numidia%1	numidia%1:15:00::	auto	26:33
7	or	wf	CC	or	_	ignore	34:36
8	its	wf	PRP$	its	_	ignore	37:40
9	people	wf	NNS	people%1|people%2	_	un	41:47
10	or	wf	CC	or	_	ignore	48:50
11	culture	wf	NN	culture%1|culture%2	culture%1:09:01::	man	51:58

# text = relating to or accompanying birth; 
# id = 02767378-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	accompanying	wf	VBG	accompany%2|accompanying%3	_	un	15:27
5	birth	wf	NN	birth%1|birth%2	birth%1:11:00::	man	28:33
6	;	wf	punc	_	_	ignore	33:34

# text = natal injuries
# id = 02767378-a-2
# type = ex
1	natal	wf	_	natal%3	natal%3:01:00::	auto	0:5
2	injuries	wf	_	injury%1	_	un	6:14

# text = natal day
# id = 02767378-a-3
# type = ex
1	natal	wf	_	natal%3	natal%3:01:00::	auto	0:5
2	day	wf	_	day%1	_	un	6:9

# text = natal influences
# id = 02767378-a-4
# type = ex
1	natal	wf	_	natal%3	natal%3:01:00::	auto	0:5
2	influences	wf	_	influence%1|influence%2	_	un	6:16

# text = connected with or belonging to or used in a navy; 
# id = 02767701-a-1
# type = def
1	connected	wf	VBN	connect%2|connected%3	_	un	0:9
2	with	wf	IN	with	_	ignore	10:14
3	or	wf	CC	or	_	ignore	15:17
4	_	glob|a	_	belong_to%2	belong_to%2:42:00::	man	_
5	belonging	cf|a	VBG	belonging%1|belong%2	_	un	18:27
6	to	cf|a	IN	to	_	ignore	28:30
7	or	wf	CC	or	_	ignore	31:33
8	used	wf	VBN	use%2|used%3	_	un	34:38
9	in	wf	IN	in	_	ignore	39:41
10	a	wf	DT	a	_	ignore	42:43
11	navy	wf	NN	navy%1	navy%1:14:00::	man	44:48
12	;	wf	punc	_	_	ignore	48:49

# text = naval history
# id = 02767701-a-2
# type = ex
1	naval	wf	_	naval%3	naval%3:01:00::	auto	0:5
2	history	wf	_	history%1	_	un	6:13

# text = naval commander
# id = 02767701-a-3
# type = ex
1	naval	wf	_	naval%3	naval%3:01:00::	auto	0:5
2	commander	wf	_	commander%1	_	un	6:15

# text = naval vessels
# id = 02767701-a-4
# type = ex
1	naval	wf	_	naval%3	naval%3:01:00::	auto	0:5
2	vessels	wf	_	vessel%1	_	un	6:13

# text = taking place or originating in a hospital; 
# id = 02769811-a-1
# type = def
1	_	glob|a	_	take_place%2	take_place%2:30:00::	man	_
2	taking	cf|a	VBG	taking%1|take%2|taking%3	_	un	0:6
3	place	cf|a	NN	place%1|place%2	_	un	7:12
4	or	wf	CC	or	_	ignore	13:15
5	originating	wf	VBG	originate%2	originate%2:42:00::	man	16:27
6	in	wf	IN	in	_	ignore	28:30
7	a	wf	DT	a	_	ignore	31:32
8	hospital	wf	NN	hospital%1	hospital%1:14:00::	man	33:41
9	;	wf	punc	_	_	ignore	41:42

# text = nosocomial infection
# id = 02769811-a-2
# type = ex
1	nosocomial	wf	_	nosocomial%3	nosocomial%3:01:00::	auto	0:10
2	infection	wf	_	infection%1	_	un	11:20

# text = of or relating to or characteristic of a numen
# id = 02770360-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	21:35
7	of	wf	IN	of	_	ignore	36:38
8	a	wf	DT	a	_	ignore	39:40
9	numen	wf	NNS	numen%1	numen%1:18:00::	auto	41:46

# text = of or relating to or denoting numbers; 
# id = 02769933-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	denoting	wf	VBG	denote%2	denote%2:32:00::	man	21:29
7	numbers	wf	NNS	number%1|numbers%1|number%2	_	un	30:37
8	;	wf	punc	_	_	ignore	37:38

# text = a numeral adjective
# id = 02769933-a-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	numeral	wf	_	numeral%1|numeral%3	numeral%3:01:00::	auto	2:9
3	adjective	wf	_	adjective%1|adjective%3	_	un	10:19

# text = pertaining to a noun or to a word group that functions as a noun; 
# id = 02768958-a-1
# type = def
1	pertaining	wf	VBG	pertain%2	pertain%2:42:01::	man	0:10
2	to	wf	IN	to	_	ignore	11:13
3	a	wf	DT	a	_	ignore	14:15
4	noun	wf	NN	noun%1	_	un	16:20
5	or	wf	CC	or	_	ignore	21:23
6	to	wf	TO	to	_	ignore	24:26
7	a	wf	DT	a	_	ignore	27:28
8	word	wf	NN	word%1|word%2	word%1:10:00::	man	29:33
9	group	wf	NN	group%1|group%2	group%1:03:00::	man	34:39
10	that	wf	WDT	that	_	ignore	40:44
11	functions	wf	VBZ	function%1|function%2	_	un	45:54
12	as	wf	IN	as	_	ignore	55:57
13	a	wf	DT	a	_	ignore	58:59
14	noun	wf	NN	noun%1	_	un	60:64
15	;	wf	punc	_	_	ignore	64:65

# text = nominal phrase
# id = 02768958-a-2
# type = ex
1	nominal	wf	_	nominal%1|nominal%3	nominal%3:01:00::	auto	0:7
2	phrase	wf	_	phrase%1|phrase%2	_	un	8:14

# text = noun phrase
# id = 02768958-a-3
# type = ex
1	noun	wf	_	noun%1	_	un	0:4
2	phrase	wf	_	phrase%1|phrase%2	_	un	5:11

# text = having one hump; 
# id = 02770951-a-1
# type = def
1	having	wf	VBG	have%2	_	un	0:6
2	one	wf	CD	one	_	ignore	7:10
3	hump	wf	NN	hump%1|hump%2	_	un	11:15
4	;	wf	punc	_	_	ignore	15:16

# text = a one-humped camel
# id = 02770951-a-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	one-humped	wf	_	one-humped%3	one-humped%3:01:00::	auto	2:12
3	camel	wf	_	camel%1	_	un	13:18

# text = of spiders who weave circular webs
# id = 02771648-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	spiders	wf	NNS	spider%1	_	un	3:10
3	who	wf	WP	who	_	ignore	11:14
4	weave	wf	VB	weave%1|weave%2	_	un	15:20
5	circular	wf	JJ	circular%1|circular%3	_	un	21:29
6	webs	wf	NNS	web%1|web%2	_	un	30:34

# text = of or relating to or supporting or characteristic of an oligarchy
# id = 02770742-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	supporting	wf	VBG	supporting%1|support%2|supporting%3	support%2:41:01::	man	21:31
7	or	wf	CC	or	_	ignore	32:34
8	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	35:49
9	of	wf	IN	of	_	ignore	50:52
10	an	wf	DT	an	_	ignore	53:55
11	oligarchy	wf	NN	oligarchy%1	oligarchy%1:14:00::	auto	56:65

# text = capable of being packed
# id = 02772465-a-1
# type = def
1	capable	wf	JJ	capable%3	capable%3:00:00::	man	0:7
2	of	wf	IN	of	_	ignore	8:10
3	being	wf	VBG	being%1|be%2	_	un	11:16
4	packed	wf	VBN	pack%2|packed%3	pack%2:35:00::	man	17:23

# text = of or related to onomastics; 
# id = 02771174-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	related	wf	VBN	relate%2|related%3	related%3:00:02::	man	6:13
4	to	wf	IN	to	_	ignore	14:16
5	onomastics	wf	NNS	onomastics%1	onomastics%1:09:00::	auto	17:27
6	;	wf	punc	_	_	ignore	27:28

# text = he published a collection of his onomastic essays
# id = 02771174-a-2
# type = ex
1	he	wf	_	he	_	ignore	0:2
2	published	wf	_	publish%2|published%3	_	un	3:12
3	a	wf	_	a	_	ignore	13:14
4	collection	wf	_	collection%1	_	un	15:25
5	of	wf	_	of	_	ignore	26:28
6	his	wf	_	his	_	ignore	29:32
7	onomastic	wf	_	onomastic%3	onomastic%3:01:00::	auto	33:42
8	essays	wf	_	essay%1|essay%2	_	un	43:49

# text = ascribed to Orpheus or characteristic of ideas in works ascribed to Orpheus
# id = 02771866-a-1
# type = def
1	ascribed	wf	VB	ascribe%2	ascribe%2:31:00::	auto	0:8
2	to	wf	IN	to	_	ignore	9:11
3	Orpheus	wf	NNP	Orpheus%1	orpheus%1:18:00::	auto	12:19
4	or	wf	CC	or	_	ignore	20:22
5	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	23:37
6	of	wf	IN	of	_	ignore	38:40
7	ideas	wf	NNS	idea%1	idea%1:09:00::	man	41:46
8	in	wf	IN	in	_	ignore	47:49
9	works	wf	NNS	work%1|works%1|work%2	_	un	50:55
10	ascribed	wf	VB	ascribe%2	ascribe%2:31:00::	auto	56:64
11	to	wf	IN	to	_	ignore	65:67
12	Orpheus	wf	NNP	Orpheus%1	orpheus%1:18:00::	auto	68:75

# text = of or pertaining to or characteristic of trees or shrubs of the olive family
# id = 02770479-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	pertaining	wf	VBG	pertain%2	pertain%2:42:01::	man	6:16
4	to	wf	IN	to	_	ignore	17:19
5	or	wf	CC	or	_	ignore	20:22
6	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	23:37
7	of	wf	IN	of	_	ignore	38:40
8	trees	wf	NNS	tree%1|tree%2	_	un	41:46
9	or	wf	CC	or	_	ignore	47:49
10	shrubs	wf	NNS	shrub%1	shrub%1:20:00::	auto	50:56
11	of	wf	IN	of	_	ignore	57:59
12	the	wf	DT	the	_	ignore	60:63
13	_	glob|a	_	olive_family%1	olive_family%1:20:00::	man	_
14	olive	cf|a	JJ	olive%1|olive%3	_	un	64:69
15	family	cf|a	NN	family%1	_	un	70:76

# text = of or relating to or characteristic of pachyderms
# id = 02772186-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	21:35
7	of	wf	IN	of	_	ignore	36:38
8	pachyderms	wf	NNS	pachyderm%1	pachyderm%1:05:00::	auto	39:49

# text = serving as or indicating the subject of a verb and words identified with the subject of a copular verb; 
# id = 02769463-a-1
# type = def
1	serving	wf	VBG	serving%1|serve%2	_	un	0:7
2	as	wf	IN	as	_	ignore	8:10
3	or	wf	CC	or	_	ignore	11:13
4	indicating	wf	VBG	indicate%2	_	un	14:24
5	the	wf	DT	the	_	ignore	25:28
6	subject	wf	NN	subject%1|subject%2|subject%3	subject%1:10:01::	man	29:36
7	of	wf	IN	of	_	ignore	37:39
8	a	wf	DT	a	_	ignore	40:41
9	verb	wf	NN	verb%1	_	un	42:46
10	and	wf	CC	and	_	ignore	47:50
11	words	wf	NNS	word%1|words%1|word%2	word%1:10:00::	man	51:56
12	identified	wf	VBN	identify%2|identified%3	identify%2:31:03::	man	57:67
13	with	wf	IN	with	_	ignore	68:72
14	the	wf	DT	the	_	ignore	73:76
15	subject	wf	NN	subject%1|subject%2|subject%3	subject%1:10:01::	man	77:84
16	of	wf	IN	of	_	ignore	85:87
17	a	wf	DT	a	_	ignore	88:89
18	copular	wf	JJ	copular%3	copular%3:01:00::	auto	90:97
19	verb	wf	NN	verb%1	_	un	98:102
20	;	wf	punc	_	_	ignore	102:103

# text = nominative noun endings
# id = 02769463-a-2
# type = ex
1	nominative	wf	_	nominative%1|nominative%3	nominative%3:01:00::	auto	0:10
2	noun	wf	_	noun%1	_	un	11:15
3	endings	wf	_	ending%1	_	un	16:23

# text = predicate nominative
# id = 02769463-a-3
# type = ex
1	predicate	wf	_	predicate%1|predicate%2	_	un	0:9
2	nominative	wf	_	nominative%1|nominative%3	nominative%3:01:00::	auto	10:20

# text = of or relating to or located near the oropharynx
# id = 02771740-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	located	wf	VBN	locate%2|located%3	_	un	21:28
7	near	wf	IN	near%2|near%3|near%4	near%3:00:00::	man	29:33
8	the	wf	DT	the	_	ignore	34:37
9	oropharynx	wf	NN	oropharynx%1	oropharynx%1:08:00::	auto	38:48

# text = relating to or associated with a job or employment; 
# id = 02771328-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	associated	wf	VBN	associate%2	associate%2:31:00::	man	15:25
5	with	wf	IN	with	_	ignore	26:30
6	a	wf	DT	a	_	ignore	31:32
7	job	wf	NN	job%1|job%2	job%1:04:00::	man	33:36
8	or	wf	CC	or	_	ignore	37:39
9	employment	wf	NN	employment%1	employment%1:04:00::	man	40:50
10	;	wf	punc	_	_	ignore	50:51

# text = on-the-job training
# id = 02771328-a-2
# type = ex
1	on-the-job	wf	_	on-the-job%3	on-the-job%3:01:00::	auto	0:10
2	training	wf	_	training%1|train%2	_	un	11:19

# text = on-the-job requirements
# id = 02771328-a-3
# type = ex
1	on-the-job	wf	_	on-the-job%3	on-the-job%3:01:00::	auto	0:10
2	requirements	wf	_	requirement%1	_	un	11:23

# text = relating to the palate and tongue
# id = 02772543-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	the	wf	DT	the	_	ignore	12:15
4	palate	wf	NN	palate%1	palate%1:08:00::	auto	16:22
5	and	wf	CC	and	_	ignore	23:26
6	tongue	wf	NN	tongue%1|tongue%2	tongue%1:08:00::	man	27:33

# text = of or relating to paleontology
# id = 02772654-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	paleontology	wf	NN	paleontology%1	paleontology%1:09:00::	auto	18:30

# text = having eyelids
# id = 02773401-a-1
# type = def
1	having	wf	VBG	have%2	_	un	0:6
2	eyelids	wf	NNS	eyelid%1	eyelid%1:08:00::	auto	7:14

# text = of or relating to or suggestive of dreams
# id = 02771079-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	suggestive	wf	JJ	suggestive%3	suggestive%5:00:00:revealing:00	man	21:31
7	of	wf	IN	of	_	ignore	32:34
8	dreams	wf	NNS	dream%1|dream%2	dream%1:09:01::	man	35:41

# text = shaped like a papilla
# id = 02773612-a-1
# type = def
1	shaped	wf	VBN	shape%2|shaped%3	shape%2:30:00::	man	0:6
2	like	wf	IN	like%1|like%2|like%3	like%3:00:00::	man	7:11
3	a	wf	DT	a	_	ignore	12:13
4	papilla	wf	NN	papilla%1	papilla%1:08:01::	man	14:21

# text = of or relating to the works of George Orwell (especially his picture of a future totalitarian state)
# id = 02772012-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	works	wf	NNS	work%1|works%1|work%2	_	un	22:27
7	of	wf	IN	of	_	ignore	28:30
8	_	glob|a	_	George_Orwell%1	george_orwell%1:18:00::	auto	_
9	George	cf|a	NNP	George%1	_	un	31:37
10	Orwell	cf|a	NNP	Orwell%1	_	un	38:44
11	(	wf	punc	_	_	ignore	45:46
12	especially	wf	RB	especially%4	_	ignore	46:56
13	his	wf	PRP$	his	_	ignore	57:60
14	picture	wf	NN	picture%1|picture%2	picture%1:10:03::	man	61:68
15	of	wf	IN	of	_	ignore	69:71
16	a	wf	DT	a	_	ignore	72:73
17	future	wf	JJ	future%1|future%3	future%5:00:00:prospective:00	man	74:80
18	totalitarian	wf	JJ	totalitarian%1|totalitarian%3	totalitarian%5:00:00:undemocratic:00	man	81:93
19	state	wf	NN	state%1|state%2	_	un	94:99
20	)	wf	punc	_	_	ignore	99:100

# text = relating to or resembling a parhelion
# id = 02774269-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	resembling	wf	VBG	resemble%2	resemble%2:42:00::	auto	15:25
5	a	wf	DT	a	_	ignore	26:27
6	parhelion	wf	NN	parhelion%1	parhelion%1:19:00::	auto	28:37

# text = relating to or constituting or bearing or giving a name; 
# id = 02769128-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	constituting	wf	VBG	constitute%2	constitute%2:42:03::|constitute%2:42:00::	man	15:27
5	or	wf	CC	or	_	ignore	28:30
6	bearing	wf	VBG	bearing%1|bear%2|bearing%3	bear%2:42:01::	man	31:38
7	or	wf	CC	or	_	ignore	39:41
8	giving	wf	VBG	giving%1|give%2|giving%3	_	un	42:48
9	a	wf	DT	a	_	ignore	49:50
10	name	wf	NN	name%1|name%2	name%1:10:00::	man	51:55
11	;	wf	punc	_	_	ignore	55:56

# text = the Russian system of nominal brevity
# id = 02769128-a-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	Russian	wf	_	Russian%1|Russian%3	_	un	4:11
3	system	wf	_	system%1	_	un	12:18
4	of	wf	_	of	_	ignore	19:21
5	nominal	wf	_	nominal%1|nominal%3	nominal%3:01:01::	auto	22:29
6	brevity	wf	_	brevity%1	_	un	30:37

# text = a nominal lists of priests
# id = 02769128-a-3
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	nominal	wf	_	nominal%1|nominal%3	nominal%3:01:01::	auto	2:9
3	lists	wf	_	list%1|list%2	_	un	10:15
4	of	wf	_	of	_	ignore	16:18
5	priests	wf	_	priest%1	_	un	19:26

# text = taxable males as revealed by the nominal rolls
# id = 02769128-a-4
# type = ex
1	taxable	wf	_	taxable%3	_	un	0:7
2	males	wf	_	male%1	_	un	8:13
3	as	wf	_	as	_	ignore	14:16
4	revealed	wf	_	reveal%2	_	un	17:25
5	by	wf	_	by	_	ignore	26:28
6	the	wf	_	the	_	ignore	29:32
7	nominal	wf	_	nominal%1|nominal%3	nominal%3:01:01::	auto	33:40
8	rolls	wf	_	roll%1|roll%2	_	un	41:46

# text = having panicles; occurring in panicles; 
# id = 02773472-a-1
# type = def
1	having	wf	VBG	have%2	_	un	0:6
2	panicles	wf	NNS	panicle%1	panicle%1:20:00::	auto	7:15
3	;	wf	punc	_	_	ignore	15:16
4	occurring	wf	VBG	occur%2	_	un	17:26
5	in	wf	IN	in	_	ignore	27:29
6	panicles	wf	NNS	panicle%1	panicle%1:20:00::	auto	30:38
7	;	wf	punc	_	_	ignore	38:39

# text = a panicled inflorescence
# id = 02773472-a-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	panicled	wf	_	panicled%3	panicled%3:01:00::	auto	2:10
3	inflorescence	wf	_	inflorescence%1	_	un	11:24

# text = of or relating to or affecting or for use in the mouth; 
# id = 02771485-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	affecting	wf	VBG	affect%2|affecting%3	affect%2:29:00::	man	21:30
7	or	wf	CC	or	_	ignore	31:33
8	for	wf	IN	for	_	ignore	34:37
9	use	wf	NN	use%1|use%2	_	un	38:41
10	in	wf	IN	in	_	ignore	42:44
11	the	wf	DT	the	_	ignore	45:48
12	mouth	wf	NN	mouth%1|mouth%2	mouth%1:08:01::	man	49:54
13	;	wf	punc	_	_	ignore	54:55

# text = oral hygiene
# id = 02771485-a-2
# type = ex
1	oral	wf	_	oral%1|oral%3	oral%3:01:00::	auto	0:4
2	hygiene	wf	_	hygiene%1	_	un	5:12

# text = an oral thermometer
# id = 02771485-a-3
# type = ex
1	an	wf	_	an	_	ignore	0:2
2	oral	wf	_	oral%1|oral%3	oral%3:01:00::	auto	3:7
3	thermometer	wf	_	thermometer%1	thermometer%1:06:00::	man	8:19

# text = an oral vaccine
# id = 02771485-a-4
# type = ex
1	an	wf	_	an	_	ignore	0:2
2	oral	wf	_	oral%1|oral%3	oral%3:01:00::	auto	3:7
3	vaccine	wf	_	vaccine%1	vaccine%1:06:00::	man	8:15

# text = adjacent to the nasal cavities; 
# id = 02774164-a-1
# type = def
1	adjacent	wf	JJ	adjacent%3	_	un	0:8
2	to	wf	TO	to	_	ignore	9:11
3	the	wf	DT	the	_	ignore	12:15
4	_	glob|a	_	nasal_cavity%1	nasal_cavity%1:08:00::	auto	_
5	nasal	cf|a	JJ	nasal%1|nasal%3	_	un	16:21
6	cavities	cf|a	NNS	cavity%1	_	un	22:30
7	;	wf	punc	_	_	ignore	30:31

# text = paranasal sinus
# id = 02774164-a-2
# type = ex
1	paranasal	wf	_	paranasal%3	paranasal%3:01:00::	auto	0:9
2	sinus	wf	_	sinus%1	_	un	10:15

# text = related as members of a substitution class; 
# id = 02773691-a-1
# type = def
1	related	wf	VBN	relate%2|related%3	relate%2:42:01::	man	0:7
2	as	wf	IN	as	_	ignore	8:10
3	members	wf	NNS	member%1	_	un	11:18
4	of	wf	IN	of	_	ignore	19:21
5	a	wf	DT	a	_	ignore	22:23
6	_	glob|a	_	substitution_class%1	substitution_class%1:10:00::	auto	_
7	substitution	cf|a	NN	substitution%1	_	un	24:36
8	class	cf|a	NN	class%1|class%2	_	un	37:42
9	;	wf	punc	_	_	ignore	42:43

# text = paradigmatic word associations
# id = 02773691-a-2
# type = ex
1	paradigmatic	wf	_	paradigmatic%3	paradigmatic%3:01:02::	auto	0:12
2	word	wf	_	word%1|word%2	_	un	13:17
3	associations	wf	_	association%1	_	un	18:30

# text = relating to or involving palpation
# id = 02773293-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	involving	wf	VBG	involve%2	_	un	15:24
5	palpation	wf	NN	palpation%1	palpation%1:04:00::	auto	25:34

# text = accompanied by or of the nature of paroxysms
# id = 02774804-a-1
# type = def
1	accompanied	wf	VBN	accompany%2|accompanied%3	_	un	0:11
2	by	wf	IN	by	_	ignore	12:14
3	or	wf	CC	or	_	ignore	15:17
4	of	wf	IN	of	_	ignore	18:20
5	the	wf	DT	the	_	ignore	21:24
6	nature	wf	NN	nature%1	_	un	25:31
